Id,ProductId,Summary,Text
5579,B0040WE938,Not as flavorful as I imagined,"I first came across Lover's Leap Estate tea when buying it from Harney & Sons. I enjoyed that tea very much for its flavorful and clean lightness, reminiscent of an Afternoon Darjeeling. The reason I went with the Elmwood Inn now was that Harney only sells this tea in tins and I wasn't interested in adding a tin to my collection every time I purchased this tea.<br /><br />Of course I cannot be sure that this is exactly the same tea but I must say that the Elmwood Inn fell short of my expectations. It tastes rather uninteresting and almost flat, and in order to get any kind of recognizable flavor, I have to use plenty of leaves. Yet it still never achieves any flavor experience that would justify buying this tea over, lets say, loose Twinings for much less. I will not buy this particular tea again and will continue to search for an equivalent to Harney's Lover's Leap."
7729,B001E5DZTS,The best milk for my baby,We wanted to use milk that was lactose free and close to breast milk.  We began using this milk to supplement my breast milk and we now use it full time.  My baby has never had an allergic reaction to it and he doesn't spit up.  It's gentle on his stomach and Amazon has it at an inexpensive price.  I would suggest this milk to any parent that prefers something different than cow's milk.
69071,B0018KR8V0,Nice snack bar alternative!,"Well, if you are following the ""only eat processed foods with five ingredients or less"" rule, this product, Larabar's ""cherry pie"" fits the bill.  There are three ingredients: dates, almonds, and cherries.<br /><br />As a sports snack, it has 200 calories (70 from fat), 5g protein, and 5g fiber.  It's not a high protein bar for muscle building, but it does have the calories for glycogen replacement.<br /><br />It's not really crumbly or melty, so it transports well.  And if you are looking for a gluten-free, dairy-free, soy-free, vegan snack, this may be for you.  Most of us will snarf it down in about 4 bites.  If you need something that takes longer to eat, look elsewhere."
29089,B00434J154,I ALMOST LOST IT!,"As soon as I discovered this soup, it started disappearing from local stores. Finally I decided to try Amazon, and now I'm having it automatically delivered by the case once a month for no more than I had been paying locally (at WalMart). This soup has everying I like: a very light cream of tomato base, chicken and a mix of cheese, vegatables and spices that make it the best tasting soup I've found. Try it, you'll like it!"
295874,B000EUINE6,My cat will eat it!,My cat will eat this.  I use it like a pill pocket as my cat will eat this but not the pill pocket.  I think it's cause there's liver in it?
998,B006F2NYI2,this sauce is the shiznit,"this sauce is so good with just about anything, i like adding it to asian food or anything with egg or noodles, it has a good burn with a strong flavor. im hoping to see some of the other flavors like the pineapple experiment on here soon. buy it you wont regret it"
70911,B001I8BOBM,Good deal,"I bought these on sale.  Product arrived promptly and three tubs were wrapped together side by side.  I must admit, the tub looks funny being so small and different from what you see at the grocery store!  The sell date on all three is mid/end of 7/10 so they were not expired, no need to worry."
53559,B0044WY3US,Mix is the non-frozen type,"Oasis sells 2 kinds of mix to make frozen drinks.  I misunderstood the label on Amazon because I thought I was ordering the mix that is always refrigerated.  Oasis ships these with dry ice to maintain the refrigeration. This item is the version that sits on the shelf until opened.  I haven't tasted it yet, but I would have preferred the kind that was likely to have fresher ingredients and less chemicals that must be needed to make this a shelf-stored type of product.  Oh well.... perhaps adding additional rum in the mix will soothe my disappointment."
61490,B000YFE7QY,Awful,Maybe it's just me but I thought this really tasted like crap. Funky aftertaste and just not good tasting in general. Maybe it tastes better when your hungry and freezing while camping up in the mountains but in my kitchen it was no good.
296359,B000VKADSS,My cat eats around the Newman's...but will eat it as last resort ;-),"I consider this a benefit, since my cat is a bottomless pit!<br />It serves to regulate her appetite.<br /><br />If you are in the same ""boat"" then this may work for you as well."
1174,B004XRJ1W4,Gummy Bears,"Well one of my friends asked for a really big bag of gummy bears, she was very pleased when she opened the box. Than her co-worker really like these gummy bears to."
304047,B0029NVJ4M,Kitty Crack,"Just the shaking of the bag and they come running.  I call it ""Kitty Crack""...and I am currently feeding about 19 of them.  One of the ways I can trap to spay/neuter them."
3335,B005K4Q1VI,Best K cup hot cocoa,"This brand is by far the best K cup hot cocoa not that that says much, but it is thicker and less disgusting than the rest."
367678,B003B3OOPA,Good hair mask,I use coconut oil for my hair like a regular hair mask 15 min. before duche.Your hair will feel the differens.Good product.
75919,B001CPOR2E,smokehouse chicken breast strips,"I bought the smokehouse chicken breast strips because they were made in the U.S.A. They are so hard, my dog cannot chew them, and if I break them (which is hard to do), I am afraid she will choke on them. There are not very many ""strips"", mostly pieces.  It is a wasted $22.99, as I will not give them to her. How can you sell something so dangerous."
3550,B000CMFMG8,Pschologically better than peanuts,"Somehow I feel healtier eating these things instead of peanuts. I don't know why either. Also, unlike peanuts, I can limit my intake to a handful and not the whole bag."
499056,B0005YX4B8,Overpriced!,These cost $2.00 from the grocery store!  No reason to buy online if you have access to a grocery store...
56912,B001VNGHMA,Best Dill ever,"This is a great buy for great quality Dill Weed. Why buy little one ounce jars for an outrageous price. ONE POUND of dill weed, packaged in an air tight bag, fresh and full of aroma and taste. Buy a bag and split it up amongst family or friends, or vacuum seal what you're not going to use right away. You won't be disappointed with this product. You may not know what to do with all of it, but you won't be disappointed in the amount, or the quality for the price."
4785,B00139TT72,Newman's Own Organics Dog Food,"I switched my mini-Schauzers over to Newman's Own Organics a month ago when they came off of their puppy chow.  I've been looking for a good quality dog food (rated 4 stars by dogfoodadvisor.com) without going into debt purchasing it!  I was feeding them a different brand that was ""breed-specific"" food, but was having trouble trying to find it in stock anywhere.  A few places, if they carried it at all, only carried the very small bags (2.5 lbs) and with two dogs, one bag would last about 3 - 5 days.  Plus these little 2.5 lb. bags cost more than half what the larger 10 lb. bag  cost!  I tried to make an arrangement to have one of the places order the larger bag for me, but they conveniently ""forgot"" to place the order, so I was stuck purchasing the ridiculously more expensive small bags.  Then I heard about Newman's Own Organics, which is rated a better dog food than the ""breed-specific"" food I was using and cost $$$ less!  And then I discovered that I could buy this food at Amazon.com, have it shipped on a regular basis to my home with no shipping costs and a discount on the food for signing up for the subscription plan delivery - no brainer!!  No more running out of food, no more driving 50 miles or more to find it, no more hassels!<br /><br />And best and most importantly of all, my little guys LOVE IT!!  Their stools firmed up almost immediately after starting the switchover, they seem more active, more alert, more regular and they actually chew this food (they inhaled their puppy chow without chewing!)  I can't say enough good things about both Newman's Own and Amazon's subscription delivery service!"
2394,B0089SPDUW,Delicious,This coffee has a good flavor and a good strength.  At first it seemed strong but then I got use to it.  I recommend this flavor coffee. Good wake up in the morning.
2305,B0002Z9BF8,Great low calorie treat for overweight dogs or for training treats!,"<a href=""http://www.amazon.com/gp/product/B0002Z9BF8"">All Natural Dog Treats by Charlee Bear - Cheese & Egg - 16 oz resealable bag</a> These are absolutely great treats for training and for use with overweight dogs. At only 4 calories per treat, even an overweight dog can feel like they are getting treats too, especially in a multi-dog household where one dog is overweight, others are not. Taste must be wonderful since there isn't anything my dogs won't do for these tiny treats, so I'm very pleased with them for many reasons! GREAT PRODUCTS!!!"
7991,B004WM0ZTS,instant coffee,Coffee is good but I don't care for individual pacs. Would rather have coffee in bags like their other coffee is packed.
5818,B00778GG8S,Awesome tasting Tea!,Awesome tasting Tea in a 16 oz. can!  I highly recommend this product because it taste great and doesn't cost a lot.
70159,B007I7Z3Z0,Very refreshing,"If you like ice tea and green tea and don't mind subtle flavors of blackberry & pomegranate & honey, then you will like this product.  It is refreshing and just toned down enough that you can put it in your mountain bike water bottle and do a serious work out to be followed by an enjoyable re-hydration. I will definitely buy this product again."
50144,B0017SWAAW,Terrible!,Not sure what the other reviewers are doing differently than I am but it doesn't taste anything like cheese at all!
39926,B00371V2V0,HORRIBLE!!!!!,"I wish I could give this food ZERO stars! It doesn't even deserve 1 star. I switched from wellness core to this food because I read an OLD review and critique of this food BEFORE P&G bought them. No grain, great limited ingredients, no red flag ingredients, all american product. However, since P&G(heartless, money grubbing, animal testing company that has a track record of ruining every quality pet food brand they buy) bought them they must have changed, at the very least, the quality of ingredients. My cat DOES NOT have a sensitive stomach/GI tract and has never had a reaction to any new food Ive given him. Two days after he started eating this his coat started feeling very coarse and he started having the WORST diarrhea and litterbox odor that filled my entire house. I feed him an entire bag of this stuff and instead of gradually getting better, his problems continually got worse. Towards the bottom of the bag it got to the point that his feces was so liquid, it would drip behind him through two rooms of the house! Gross I know, but I think others need to know how bad his problems were before they think of feeding this food to their babies. He is now on Orijen kibble and a frozen raw diet and the problems stopped the day after I switched him off this food. I believe at one time this was a quality food made by a quality company, but this is not the case anymore. Sad, but I think this food is now along the same lines as crud like meow mix and purina."
20431,B001BDDTB2,8 paws up,"Evidently these are to be sold in the stores as four can packs.  Neat thing, there was a [...]  off your next four packs in side each of the packages.<br /><br />My taste test panel of two - Foutchie and Miss Fuzz gave it 8 paws up.  They eat the expense 85 cent a can fancy stuff, so this compares well to that brand.  Same size.  They list is as Chicken pot pie, and frankly, that is what it looks like--the filing of a pot pie.<br /><br />I always think of Jane Fonda in KLUTE feeding her cat and then licking the spoon of the cat food can herself.  Well, chow down, Jane."
1718,B001RVFDOO,Pop Chips...Yum!!!,"These are the best alternative chips I have ever tried. I have shared them with friends and relatives and they all agree. You get enough in the single serve packs to be truly satisfied and if you are a weight watchers customer, they are GREAT, only 2 points for each bag!!!"
71419,B003YF4CFC,strange tast bought through Amazon,"At age 73, I have eaten gumbo all my life.  This has a strange taste that definitely did harm to the gumbo.  I know there is only one ingrediant, but those sassafras leaves must have been spoiled. There is an unbelieveable amount for the price, but not worth it."
284851,B001P3NU4O,My kitties Adore these Treats!,"My kitties demand these treats every day;  I dare not run out of them, or I'm toast!"
36571,B004CLCEDE,I'd give it zero stars if that was an option.,It's like eating a somewhat chewy rubber band. I couldn't get it to absorb ANY flavor.  I soaked it in various sauces for a couple of days in the fridge and it still had no flavor.
65048,B002C37TM0,Taste better than it sounds!!!,"I was expecting this tea to have somewhat of a bitter taste to it just because of its name.  Boy was I WRONG!!!  This tea can easily be consumed with or without sugar.  I prefer it without sugar, but when I want a sweet taste to it, I'll just add one packet of Sweet & Low.  My energy picks up in about 30 minutes (after drinking the cup of tea) and lasts for approximately 2 hours!!!  You can't beat that at all!!!  Doesn't give me the caffiene jitters that my coffee does.  Now I just substitute one cup of coffee for one cup of Oolong Tea!!!"
6837,B001LG945O,Well it's better than the black cherry anyway,"This is my second can of ""The Switch"" that I'm reviewing under the Amazon Vine program. And while this one is perhaps a bit better it still has the same basic issues -- it's over priced at almost $1 for a mere 8.3oz can in a 24 pack, but more importantly it really just doesn't taste like orange or tangerine at all. The ingredients actually list apple juice as the first type. Now why would you put apple juice in an orange drink? Now don't get me wrong, it tastes exactly like one would expect carbonated juice to taste...but the flavor isn't all that appealing.<br /><br />I love orange juice, drink it every day. I'd love to try carbonated orange juice...but this is far from that. It MIGHT be a good substitute for normal soda for kids, but I can't imagine any other real reason to get this."
5577,B005WINEYO,Delicious,"The smell alone will make you salivate, it is that good. It comes with rock sugar mixed in, so I don't ever use any added sweeteners."
158386,B000HDMVNY,Great stuff!,I've been using this product for years - you could say I'm addicted to it! Local stores used to carry it but no more so I'm thrilled Amazon has it. Now if we could just get the 3lb size I'd be in heaven!
50251,B000FBQ50I,These cookies are $2.19 in my SuperMarket,We were buying Bahlsen cookies at $1.70-$2.19 at lockal supermarket until I found that they are $1.41/box here at Amazon!
95696,B003FXIUWY,Don't buy the Sobe Mango Mandrian coconut flavor,Save yourself the money do NOT buy the Sobe Lifewater  Mango mandrian w/ coconut flavor- GAG.<br />Not that I know what a smelly arm pit tastes like but it would have to be very similar to this distgusting Sobe flavor.
295022,B0001VWG50,Just what my food needed!!!!,"I am so happy I found this product!!! In Latin america it's called achiote, it's really difficult to find in powder form in the US. This is just what my food needed!!! Wooohooo!!!!"
21174,B002QWP89S,Teenie Greenies,These are the only treats I can get my dog to eat. She has to be limited as she will make a meal on these if I would let her.
34085,B000LKVDUU,Good for times u don't wanna cook.,I like the product coz of its convinience & as it comes from agood brand I don't feel guilty using packaged food for my family.
4865,B002FVQX3A,"Yummy, but it does not last","Tastes very good.  I really like the taste.<br /><br />But then it is gone.  Like it was never there.  So fleeting.<br /><br />Takes two pieces to really enjoy, also.<br /><br />And be VERY careful not to eat it.  Seriously, it is hard not to swallow it.  Laugh all you want.  You try it and see what I mean."
18447,B001M051UQ,PASKESZ APPLE CHIPS,"I WAS SOMEWHAT DISAPPOINTED WITH THESE APPLE CHIPS.  I HAVE PURCHASED SENECA APPLE CHIPS IN THE PAST--I REALLY LOVED THEM. I THOUGHT THESE WOULD BE SIMILAR, BUT THEY ARE RATHER TASTELESS, THE CHIPS ARE TOO BIG, & THEY HAVE A MUSHY CONSISTENCY.  I WOULD NOT BUY THEM AGAIN."
391767,B000ODV07K,Freshen Up gum,Product arrived in timely manner.<br />Product is bubble gum flavored that has a juicy center.<br />Fun and tasty gum.
406,B000C21OOM,Sweet and Soothing,"This is a wonderful warm flavored tea, especially now in colder weather.<br />This tea has a sweet,soothing chamomile fragrance. It is subtle and sweet.It's one of the better chamomile teas.<br />If you find it hard to sleep at times, a cup of this sweet chamomile tea may help.<br />If you really like sweet taste try Bigelow Chamomile Mango Herbal Tea.<br />I highly recommend both."
520423,B000FPM58K,One of his favorites!,"Out of all of the different bones and treats we've given our dog, these are one of his all time favorites!"
10168,B003EML8PM,Hard To Cook,"I don't know if I got a bad batch or something, but I could'nt get these to cook right. I followed the instructions and after about two minutes, the bag stoped expanding. I opened it and found everything badly burnt. the next bag I waited about one and a half minutes. I opened it and found half the chips uncooked. I never could find a time that either left some uncooked or some burnt. (I shook the bags and scattered the chips inside them well before microwaving each time)"
316367,B0029JWW5Q,dose the job,"Does an excelent job, then after the 30 or 50 days we  use the soda th refresh the cat litter box & litter."
46287,B000RNW5WQ,It didn't work,"I ordered this sugar for use in a Nostalgia Electric Cotton Candy Machine.  To make the review short, it didn't work at all.  We tried it three times and it wouldn't create ""cotton"" even tho the sugar that came with the machine did work."
4376,B004391DK0,Yummmmm!,"This is a great product! Hats off to Betty Crocker once again. They are becoming a more ""MAIN STREAM"" go-to company for people who are gluten free!"
34638,B0018CJJ9C,Finally found a kibble my allergic dog can eat.,"My terrier has many food allergies (beef, fish, dairy, corn, soy, chicken are among those we KNOW).  I had been making her food from scratch using venison, brown rice and peas.  We tried several kibbles including anti allergy perscription types(venison can get very hard to find / expensive out of hunting season) and all of them caused reactions.  This is a little expensive, but it's SO much cheaper and easier than making her food from scratch.  She LOVES the taste (picks it out of the venison meat when mixed together) and all of my dogs now get this kibble as treats so we have less chance of her getting something she is allergic to by accident.  I am so very thankful to have found this food."
253740,B000GHJJVI,atlaca,I received the product in a timely manner and in execellent condition.  I would order from this vendor again.
56432,B000EHL21U,EXPIRATION DATES SUCK FOR THIS,"I bought these bars to use in my ""hurricane food stash"". They taste good, are somewhat chewy- watch your expensive fillings. Complaint: the expiration date is 7 months away!!!! Boo Hiss. I hope the seller isnt getting these bars cheap because they are close to expiring and then passing them on to us on Amazon. I checked my daughter-in-laws Kashi bars that she bought at local grocery-they expire October 2011...grrr...me not happy."
65250,B00063KNX0,Beware of this product--one of our dogs died.,"You should monitor your dog very carefully if you give him/her these chews. One of our dogs died as a result of eating these chews, and the other three were very ill for two days. This product is very difficult for dogs to digest and can result in blocked intestines and infection. Since the package did not contain any warnings, we thought they were harmless. Be very careful if you buy these for your dog."
